rdtProductcode,rdtSuboutletcode,fillmethod2,searchtextrdt,rdtCode,rdtBrand_search,parasite_search,anti_search,rdtManu_search,confirmRDT_search,r1,r3,r3_lbl,r2,r2_lbl,r4,rdtBrand,r5code,r5code_other,self,r13,r14,r15a,r15b,r15c,r16a,r16b,r16c,r17n,r17p,r12a,r12b,r19,PARENT_KEY,KEY,SET-OF-rdtAudit
01,1-303201-115995-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,-9888,0,1,1000,1000,0,,,50,15000,-9888,-9888,,uuid:4f46eee0-7acf-4299-8cd5-f1afa29397ff,uuid:4f46eee0-7acf-4299-8cd5-f1afa29397ff/consent_group-section6-rdtAudit[1],uuid:4f46eee0-7acf-4299-8cd5-f1afa29397ff/consent_group-section6-rdtAudit
01,1-310252-931392-R-01,2,,,,,,,,Richer Malaria PV/PF cassette,4,Pf/Pv,8,Not indicated,AI DE Diagnostic Co. LTD,Richer Malaria PV/PF cassette,1,,1,1,1,1,3500,3500,0,,,25,-9888,,,The purchased price of the rdt could not be stated,uuid:ea3801e9-c8f8-475b-8615-96c8d141a610,uuid:ea3801e9-c8f8-475b-8615-96c8d141a610/consent_group-section6-rdtAudit[1],uuid:ea3801e9-c8f8-475b-8615-96c8d141a610/consent_group-section6-rdtAudit
01,1-310252-595143-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,1,0,1,2500,2500,1,500,500,50,-9888,,,The Boss is not around . The Nurse doesn't know the purchased prce,uuid:ab552c37-3154-4da3-bb77-89b2d5c72db6,uuid:ab552c37-3154-4da3-bb77-89b2d5c72db6/consent_group-section6-rdtAudit[1],uuid:ab552c37-3154-4da3-bb77-89b2d5c72db6/consent_group-section6-rdtAudit
01,1-110072-137634-R-01,1,SD,.,ABON� Plus Malaria P.f./Pan Rapid Test Device (Whole Blood?,Pf/Pan,HRP2/pLDH,ABON BIOPHARM (HANGZOU) Co LTD,0,SD BIOLINE MALARIA  P.F,1,Pf,1,HRP2,STANDARD DIAGNOSTICS INC,ABON� Plus Malaria P.f./Pan Rapid Test Device (Whole Blood?,996,COUNTRY NOT SPECIFIED,0,6,0,1,500,500,0,,,10,2000,,,NONE,uuid:1b6a0081-b539-4087-8268-7abde6bc56a5,uuid:1b6a0081-b539-4087-8268-7abde6bc56a5/consent_group-section6-rdtAudit[1],uuid:1b6a0081-b539-4087-8268-7abde6bc56a5/consent_group-section6-rdtAudit
01,1-315266-048118-R-01,2,,,,,,,,Onside Rapid Test,4,Pf/Pv,8,Not indicated,CTK BIOTECH,Onside Rapid Test,13,,1,-9888,0,1,2800,2800,0,,,-9888,-9888,,,,uuid:5591b617-a799-4aff-9714-27053c31bc41,uuid:5591b617-a799-4aff-9714-27053c31bc41/consent_group-section6-rdtAudit[1],uuid:5591b617-a799-4aff-9714-27053c31bc41/consent_group-section6-rdtAudit
01,1-315266-549020-R-01,1,First,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,-9888,0,1,3000,2500,0,,,1,5800,,,The lab scientists uses the MICROSCOPY more than the RDT'S because the RDT'S are not always accurate,uuid:ea00f9c2-5fbd-4477-96da-a554d0706df8,uuid:ea00f9c2-5fbd-4477-96da-a554d0706df8/consent_group-section6-rdtAudit[1],uuid:ea00f9c2-5fbd-4477-96da-a554d0706df8/consent_group-section6-rdtAudit
01,1-315266-684638-R-01,1,Malaria pf,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,1,1,0,1,1000,1000,0,,,50,6000,,,,uuid:b5282109-0f9b-44a6-a4d9-c164945dbac5,uuid:b5282109-0f9b-44a6-a4d9-c164945dbac5/consent_group-section6-rdtAudit[1],uuid:b5282109-0f9b-44a6-a4d9-c164945dbac5/consent_group-section6-rdtAudit
01,1-305209-988197-R-01,1,Malaria pf rapid,1023,EzDx Malaria Pf Rapid malaria Antigen detection test (pLDH and HRP-II),Pf,HRP2/pLDH,Advy Chemical Pvt. Ltd.,1,,,,,,,EzDx Malaria Pf Rapid malaria Antigen detection test (pLDH and HRP-II),2,,1,2,0,1,1000,1000,0,,,-9888,-9888,,,No,uuid:099e0c0a-f5cf-4b21-9e1a-d32ad3b195c4,uuid:099e0c0a-f5cf-4b21-9e1a-d32ad3b195c4/consent_group-section6-rdtAudit[1],uuid:099e0c0a-f5cf-4b21-9e1a-d32ad3b195c4/consent_group-section6-rdtAudit
01,1-305209-902204-R-01,1,First,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,10,0,1,1500,1500,0,,,25,13000,,,,uuid:7c25f6e8-6820-4280-9e40-12a4803dba9b,uuid:7c25f6e8-6820-4280-9e40-12a4803dba9b/consent_group-section6-rdtAudit[1],uuid:7c25f6e8-6820-4280-9e40-12a4803dba9b/consent_group-section6-rdtAudit
01,1-305209-207023-R-01,1,First Response,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,0,2,0,1,1000,1000,0,,,25,8000,,,N/A,uuid:163c52e1-49ca-4a05-ab30-e5dad551851c,uuid:163c52e1-49ca-4a05-ab30-e5dad551851c/consent_group-section6-rdtAudit[1],uuid:163c52e1-49ca-4a05-ab30-e5dad551851c/consent_group-section6-rdtAudit
01,1-305205-138517-R-01,1,Standard Q,1044,STANDARD Q Malaria Pf Ag Test,Pf,HRP2,"SD Biosensor, Inc.",1,,,,,,,STANDARD Q Malaria Pf Ag Test,996,Korea,0,2,0,1,1000,1000,0,,,25,13750,,,N/A,uuid:119da8e3-2639-4a33-a554-8e407e3d9278,uuid:119da8e3-2639-4a33-a554-8e407e3d9278/consent_group-section6-rdtAudit[1],uuid:119da8e3-2639-4a33-a554-8e407e3d9278/consent_group-section6-rdtAudit
01,1-317268-467316-R-01,1,Bioli,1006,Bioline Malaria Ag Pf,Pf,HRP2,Abbott Diagnostics Korea Inc.,1,,,,,,,Bioline Malaria Ag Pf,996,Korea,0,9998,0,0,,,0,,,25,-9888,,,No comment,uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2,uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2/consent_group-section6-rdtAudit[1],uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2/consent_group-section6-rdtAudit
02,1-317268-467316-R-02,1,Para,1040,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,Pf,HRP2,ARKRAY Healthcare Pvt. Ltd.,1,,,,,,,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,2,,0,9998,0,0,,,0,,,25,-9888,,,No comment,uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2,uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2/consent_group-section6-rdtAudit[2],uuid:e9c54a84-5e8e-4d84-98b6-a702ec0a96e2/consent_group-section6-rdtAudit
01,1-317268-399148-R-01,1,CareStart,1010,CareStart Malaria HRP2 (Pf),Pf,HRP2,"Access Bio, Inc.",1,,,,,,,CareStart Malaria HRP2 (Pf),13,,1,9998,0,0,,,1,1500,1500,25,-9888,,,The provider doesn't know the purchase price,uuid:1bc23702-830c-458f-ad01-136e8caa3a1d,uuid:1bc23702-830c-458f-ad01-136e8caa3a1d/consent_group-section6-rdtAudit[1],uuid:1bc23702-830c-458f-ad01-136e8caa3a1d/consent_group-section6-rdtAudit
02,1-317268-399148-R-02,1,First response,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,9998,0,1,1500,1500,0,,,25,9998,,,The respondent does not know the purchase price of the RDTs,uuid:1bc23702-830c-458f-ad01-136e8caa3a1d,uuid:1bc23702-830c-458f-ad01-136e8caa3a1d/consent_group-section6-rdtAudit[2],uuid:1bc23702-830c-458f-ad01-136e8caa3a1d/consent_group-section6-rdtAudit
01,1-205114-838567-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,25,0,1,1000,700,1,300,300,50,7500,,,NONE,uuid:819ae9cc-80b3-41cf-836c-7de9141ec946,uuid:819ae9cc-80b3-41cf-836c-7de9141ec946/consent_group-section6-rdtAudit[1],uuid:819ae9cc-80b3-41cf-836c-7de9141ec946/consent_group-section6-rdtAudit
01,1-205114-400530-R-01,1,FI,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,20,0,1,500,500,0,,,500,4000,25,4000,,uuid:7c2cb6c3-9e9f-4ee0-827e-f80efae47734,uuid:7c2cb6c3-9e9f-4ee0-827e-f80efae47734/consent_group-section6-rdtAudit[1],uuid:7c2cb6c3-9e9f-4ee0-827e-f80efae47734/consent_group-section6-rdtAudit
01,1-205114-622385-R-01,1,AD,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,3,1,1,300,300,0,,,25,1800,-9888,-9888,,uuid:e438191a-c4e1-4074-a0a6-72cf2b7d6f5d,uuid:e438191a-c4e1-4074-a0a6-72cf2b7d6f5d/consent_group-section6-rdtAudit[1],uuid:e438191a-c4e1-4074-a0a6-72cf2b7d6f5d/consent_group-section6-rdtAudit
01,1-205114-920782-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,20,1,1,200,200,0,,,50,4000,,,NO,uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0,uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0/consent_group-section6-rdtAudit[1],uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0/consent_group-section6-rdtAudit
02,1-205114-920782-R-02,2,,,,,,,,PARAHIT F VER. 1.0 RAPID TEST,1,Pf,8,Not indicated,9995,PARAHIT F VER. 1.0 RAPID TEST,998,,1,0,0,1,200,200,0,,,50,1500,,,NO,uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0,uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0/consent_group-section6-rdtAudit[2],uuid:cedb1304-ecc9-41a3-a069-c7511d32a8b0/consent_group-section6-rdtAudit
01,1-205114-274327-R-01,1,MAL,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,1,15,1,1,200,200,0,,,25,3000,,,NONE,uuid:3c377174-d955-4357-860d-badb002199de,uuid:3c377174-d955-4357-860d-badb002199de/consent_group-section6-rdtAudit[1],uuid:3c377174-d955-4357-860d-badb002199de/consent_group-section6-rdtAudit
01,1-205114-546858-R-01,1,FIRST,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,3,0,1,400,400,0,,,25,2400,,,SHE DONT SELL FOR TAKEAWAY,uuid:3ab5d9fc-5e3b-4fc2-9130-8339354c5f36,uuid:3ab5d9fc-5e3b-4fc2-9130-8339354c5f36/consent_group-section6-rdtAudit[1],uuid:3ab5d9fc-5e3b-4fc2-9130-8339354c5f36/consent_group-section6-rdtAudit
01,1-205114-175562-R-01,1,FIRST,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,35,0,1,300,300,0,,,75,7500,,,HAVE BEEN IN STOCK FOR MORE THAN 3 MONTHS,uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6,uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6/consent_group-section6-rdtAudit[1],uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6/consent_group-section6-rdtAudit
02,1-205114-175562-R-02,1,PARAHIT,1040,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,Pf,HRP2,ARKRAY Healthcare Pvt. Ltd.,1,,,,,,,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,2,,1,35,0,1,300,300,0,,,75,9000,,,HAVE NOT BEEN OUT OF STOCK FOR MORE THAN 3 MONTHS,uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6,uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6/consent_group-section6-rdtAudit[2],uuid:a253c984-1bbe-46a0-b52e-16c3413e8df6/consent_group-section6-rdtAudit
01,1-317268-548413-R-01,2,,,,,,,,Healthcheck,1,Pf,1,HRP2,Healthcheck,Healthcheck,998,,0,-9888,1,1,-9888,-9888,0,,,-9888,-9888,,,"The RDT was not available at the time of the interview,  and it has been out of stock for a few days. So much information can not be provided",uuid:e8cbefa8-7ddc-49ce-871f-2f6bc30d31fa,uuid:e8cbefa8-7ddc-49ce-871f-2f6bc30d31fa/consent_group-section6-rdtAudit[1],uuid:e8cbefa8-7ddc-49ce-871f-2f6bc30d31fa/consent_group-section6-rdtAudit
01,1-317268-781920-R-01,2,,,,,,,,Bio line SD Rapid Test pf,1,Pf,8,Not indicated,Standard Diagnostic INC,Bio line SD Rapid Test pf,998,,0,80,0,1,1500,1500,0,,,100,-9888,,,,uuid:09bb8aea-6fe0-49e1-9570-92367ac33886,uuid:09bb8aea-6fe0-49e1-9570-92367ac33886/consent_group-section6-rdtAudit[1],uuid:09bb8aea-6fe0-49e1-9570-92367ac33886/consent_group-section6-rdtAudit
01,1-225174-762136-R-01,1,FIRST RESPONS,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,25,0,1,-9777,-9777,0,,,80,-9777,40,-9777,THE STAFF IS NOT SAYING THE PRIZES HE SELL AND PURCHASED,uuid:4ff9c554-9ceb-41b6-9123-e5633970333b,uuid:4ff9c554-9ceb-41b6-9123-e5633970333b/consent_group-section6-rdtAudit[1],uuid:4ff9c554-9ceb-41b6-9123-e5633970333b/consent_group-section6-rdtAudit
02,1-225174-762136-R-02,1,MALARIA PF,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,1,15,0,1,-9777,-9777,0,,,-9777,-9777,-9777,-9777,THE STAFF DO NOT WANT SAY THE PRIZES HE SELL OR PURCHASED,uuid:4ff9c554-9ceb-41b6-9123-e5633970333b,uuid:4ff9c554-9ceb-41b6-9123-e5633970333b/consent_group-section6-rdtAudit[2],uuid:4ff9c554-9ceb-41b6-9123-e5633970333b/consent_group-section6-rdtAudit
01,1-225174-896762-R-01,1,PARAHIT,1040,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,Pf,HRP2,ARKRAY Healthcare Pvt. Ltd.,1,,,,,,,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,2,,1,20,0,1,200,200,0,,,500,12500,,,NO,uuid:6d8daeff-ffd9-4b67-b07d-890856448bad,uuid:6d8daeff-ffd9-4b67-b07d-890856448bad/consent_group-section6-rdtAudit[1],uuid:6d8daeff-ffd9-4b67-b07d-890856448bad/consent_group-section6-rdtAudit
01,1-225174-032626-R-01,2,,,,,,,,SD BIOLINE RAPID TEST,1,Pf,8,Not indicated,"STANDARD DIAGNOSTIC, INC.",SD BIOLINE RAPID TEST,998,,1,10,0,1,200,200,0,,,25,2800,,,THE MANUFACTURER IS DIFFERENT WITH THE ONE IN DATA BASE,uuid:246efeb1-8c28-46d2-ae48-32616d565af4,uuid:246efeb1-8c28-46d2-ae48-32616d565af4/consent_group-section6-rdtAudit[1],uuid:246efeb1-8c28-46d2-ae48-32616d565af4/consent_group-section6-rdtAudit
01,1-225174-221394-R-01,2,,,,,,,,SD BIOLINE RAPID TEST,1,Pf,8,Not indicated,"STANDARD DIAGNOSTIC, INC.",SD BIOLINE RAPID TEST,998,,1,5,0,1,200,200,0,,,25,2800,,,,uuid:a73da546-a2d5-4099-96b7-64ac40b02658,uuid:a73da546-a2d5-4099-96b7-64ac40b02658/consent_group-section6-rdtAudit[1],uuid:a73da546-a2d5-4099-96b7-64ac40b02658/consent_group-section6-rdtAudit
01,1-225174-019517-R-01,2,,,,,,,,SD,1,Pf,1,HRP2,STANDARD DIAGNOSTIC INC,SD,10,,1,20,0,1,300,300,0,,,25,4000,,,No comments,uuid:ac36ea9b-aacd-41d0-acd3-3cf28b73c1c4,uuid:ac36ea9b-aacd-41d0-acd3-3cf28b73c1c4/consent_group-section6-rdtAudit[1],uuid:ac36ea9b-aacd-41d0-acd3-3cf28b73c1c4/consent_group-section6-rdtAudit
01,1-225174-129189-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,10,1,1,200,100,0,,,25,3000,,,THEY DIDN'T ALLOW ME TO TAKE PICTURE OF THE RDT,uuid:1b2cc8d1-f6b9-499c-87e8-1b1d659a4310,uuid:1b2cc8d1-f6b9-499c-87e8-1b1d659a4310/consent_group-section6-rdtAudit[1],uuid:1b2cc8d1-f6b9-499c-87e8-1b1d659a4310/consent_group-section6-rdtAudit
01,1-225174-165131-R-01,1,ADV,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,20,1,1,500,500,0,,,45,13500,,,N.A,uuid:ddc946b8-abcc-4aa3-844e-8ee8389d6500,uuid:ddc946b8-abcc-4aa3-844e-8ee8389d6500/consent_group-section6-rdtAudit[1],uuid:ddc946b8-abcc-4aa3-844e-8ee8389d6500/consent_group-section6-rdtAudit
01,1-105045-745336-R-01,1,ADV,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,-9777,0,1,-9777,-9777,0,,,-9777,-9777,,,NONE,uuid:6f9735a4-5696-4bc9-a36e-0b600c9a5613,uuid:6f9735a4-5696-4bc9-a36e-0b600c9a5613/consent_group-section6-rdtAudit[1],uuid:6f9735a4-5696-4bc9-a36e-0b600c9a5613/consent_group-section6-rdtAudit
01,1-311259-475317-R-01,1,Malaria pf,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,98,10,0,0,,,0,,,25,1800,5,-9888,None,uuid:5b7e6695-2940-4f81-8fff-6993143cea2d,uuid:5b7e6695-2940-4f81-8fff-6993143cea2d/consent_group-section6-rdtAudit[1],uuid:5b7e6695-2940-4f81-8fff-6993143cea2d/consent_group-section6-rdtAudit
01,1-209121-443036-R-01,1,FIR,1026,First Response Malaria Ag (pLDH/HRP2) Combo Card Test,Pf/Pan,HRP2/pLDH,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag (pLDH/HRP2) Combo Card Test,2,,0,15,1,1,300,300,0,,,20,4000,,,,uuid:6f98a892-496c-41be-854d-e7e7f67a31dd,uuid:6f98a892-496c-41be-854d-e7e7f67a31dd/consent_group-section6-rdtAudit[1],uuid:6f98a892-496c-41be-854d-e7e7f67a31dd/consent_group-section6-rdtAudit
01,1-209121-558015-R-01,1,PAR,1040,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,Pf,HRP2,ARKRAY Healthcare Pvt. Ltd.,1,,,,,,,ParaHIT - f Ver. 1.0 Rapid Test for Pf Malaria Device,2,,0,10,1,1,300,300,0,,,25,3000,,,None,uuid:6fc7efa8-0440-458f-abfa-e2d178036f70,uuid:6fc7efa8-0440-458f-abfa-e2d178036f70/consent_group-section6-rdtAudit[1],uuid:6fc7efa8-0440-458f-abfa-e2d178036f70/consent_group-section6-rdtAudit
